"abbreviation","replacement"
"g^","ᵍ"
"||+","││⁺"
"|block","│"
"h^","ʰ"
"`mint","▪"
"`end","⵰"
"bk","│"
"v~","⋎"
"`sig","▪ ◌ ⎛⎠ ───‣ ⎛⎠"
"||","║"
"mk","▪"
"j^","ʲ"
"k^","ᵏ"
"`sigs","▪ ◌ ⎛⎠ ⎝⎞ ───‣ ⎝⎞ ⎛⎠"
"nd^","ⁿᵈ"
"d^","ᵈ"
"l^","ˡ"
"|\","⫮"
"`v^","ⴵ"
"m^","ᵐ"
"hx","₁₆"
"`zigs","▪ ◌ ⎛⎠ ⎝⎞ ╶╶╶‣ ⎝⎞ ⎛⎠"
"`zig","▪ ◌ ⎛⎠ ╶╶╶‣ ⎛⎠"
"f^","ᶠ"
"e^","ᵉ"
"i^","ⁱ"
"c^","ᶜ"
"v^","ᵛ"
"|do","│"
"b^","ᵇ"
"o^","ᵒ"
"a^","ᵃ"
"p^","ᵖ"
"vv","ᵥ"
"`iverson","❮❯"
"r^","ʳ"
"`|","│"
"s^","ˢ"
"t^","ᵗ"
"df","▪"
"nw","￭"
"`rem","⪻⪼"
"`remark","⪻⪼"
"u^","ᵘ"
"bn","₂"
"|scope","│"
"w^","ʷ"
"`vvv","⋁"
"x^","ˣ"
"y^","ʸ"
"z^","ᶻ"
"|body","│"
"A^","ᴬ"
"`toe","╰"
"B^","ᴮ"
"av","ₐ"
"ev","ₑ"
"`house","⌂"
"`make","▪"
"|toe","╰"
"`crown","╭"
"n^","ⁿ"
"|><|","⨝"
"|cap","╭"
"`roof","⌈⌉"
"`floor","⌊⌋"
"`round","⌈⌋"
"`signature","▪ ◌ ⎛⎠ ───‣ ⎛⎠"
"st^","ˢᵗ"
"rd^","ʳᵈ"
"`ped","╰"
"`signatures","▪ ◌ ⎛⎠ ⎝⎞ ───‣ ⎝⎞ ⎛⎠"
"zg","▪ ◌ ⎛⎠ ╶╶╶‣ ⎛⎠"
"zgs","▪ ◌ ⎛⎠ ⎝⎞ ╶╶╶‣ ⎝⎞ ⎛⎠"
"sgs","▪ ◌ ⎛⎠ ⎝⎞ ───‣ ⎝⎞ ⎛⎠"
"sg","▪ ◌ ⎛⎠ ───‣ ⎛⎠"
"`equal","═"
"eq","═"
"`pac","╰"
"|pac","╰"
"`hourglass","ⴵ"
"`top","╭"
"`X","╳"
"X-","X̄"
"x-","x̄"
"XXX","╳"
"XX","╳"
"xxx","╳"
"`if","if
 ╎
 ╰"
"`loop","loop
 ┊
 ╰"
"|foot","┕"
"|pending","┆"
"fmt","≺≻"
"v.%","ꖜ"
"tp","╭"
"bt","╰"
"tbd","ˋˊ"
"{}if","╭   ╮
⎨ ◌ ⎬ if  ◌  ?
╰   ╯"
"`secent","cos⁻¹"
"`finish","⵰"
"{|}if","╭     ╮
⎨◌ ╏ ◌⎬ if  ◌  ?
╰     ╯"
"`add","+"
"`plus","+"
"0th","0ᵗʰ"
"10th","10ᵗʰ"
"11th","11ᵗʰ"
"12th","12ᵗʰ"
"13th","13ᵗʰ"
"14th","14ᵗʰ"
"15th","15ᵗʰ"
"16th","16ᵗʰ"
"17th","17ᵗʰ"
"18th","18ᵗʰ"
"19th","19ᵗʰ"
"1st","1ˢᵗ"
"20th","20ᵗʰ"
"2nd","2ⁿᵈ"
"3rd","3ʳᵈ"
"4th","4ᵗʰ"
"5th","5ᵗʰ"
"6th","6ᵗʰ"
"7th","7ᵗʰ"
"8th","8ᵗʰ"
"9th","9ᵗʰ"
"<?","<ˀ"
"=?","=ˀ"
">?",">ˀ"
"`gloss","`"
".hex","₁₆"
"`hex","₁₆"
".bin","₂"
"`bin","₂"
"`oct","₈"
".oct","₈"
"`sec","cos⁻¹"
"`brief"," ‹
 Input(s):
     ◌
 Output(s):
     ◌
 Usage(s):
     ⎛     ⎞
     ⎜  ◌  ⎟
     ⎝     ⎠
 Does:
     ◌
 Caveat(s):
     ◌
›
"
"`ibrief","‹
 Input(s):
     ◌
 Output(s):
     ◌
 Usage(s):
     ⎛     ⎞
     ⎜  ◌  ⎟
     ⎝     ⎠
 Does:
     ◌
 Caveat(s):
     ◌
›
"
"`pending","pending
 ┆
 ┕"
"`cosecant","sin⁻¹"
"`csc","sin⁻¹"
"`cotangent","tan⁻¹"
"`cot","tan⁻¹"
"!!","¡"
"'|","¦"
"`else","¦"
"$$","§"
",,^","¨"
"(c)","©"
"'<<","«"
"'<<>>","«»"
"`not","¬"
"(r)","®"
"`macron","¯"
"-^","¯"
"dg","°"
"dgs","°"
"`degree","°"
"deg","°"
"`degrees","°"
"`%","°"
"+-","±"
"2^","²"
"3^","³"
"`char","´"
".'","´"
"`para","¶"
"`point","·"
",^","·"
",,","··"
",,,","···"
"1^","¹"
"'>>","»"
"??","¿"
"`product","×"
"xx","×"
"`mult","×"
"`x","×"
"`multiply","×"
"`times","×"
"`prod","×"
"`divide","÷"
"`div","÷"
"dv","÷"
":-","÷"
"-:","÷"
"l.","ŀ"
"L.","Ŀ"
"s,","ȿ"
"S,","Ȿ"
"`plural","ɀ"
"`count","ɀ"
"zz","ɀ"
"`span","ʎ"
"`length","ʎ"
"`ear","ʚ"
".`","ʹ"
".``","ʺ"
""")^","ʾ"
"""(^","ʿ"
"""()^","ʿʾ"
"`pred","ˀ"
"`predicate","ˀ"
"?^","ˀ"
"???^","ˁ"
"??^","ˁ"
"`nilable","ˁ"
"""^","ˆ"
"`port","ˆ"
"`power","ˆ"
"^^","ˆ"
"`''","ˋˊ"
"`as","ː"
"`:","ː"
"klone","ˑ"
"`clone","ˑ"
"`.","ˑ"
""")","˒"
"""(","˓"
"""()","˓˒"
"'+","˖"
"`float","˙"
"`Float","˙"
"`flt","˙"
"`%^","˚"
"~^","˜"
"`String","˝"
"`text","˝"
"`string","˝"
"`txt","˝"
"`Text","˝"
"`Txt","˝"
".""","˝"
"""<","˱"
"""<>","˱˲"
""">","˲"
"`corners","˹˺˻˼"
"`;",";"
"`alpha","α"
"`GREEK","ΑΒΓΔΕΖΗΘΙΚΛΜΝΞΟΠΡΣΤΥΦΧΨΩαβγδεζηθικλμνξοπρςτυφχψω"
"`greek","αβγδεζηθικλμνξοπρςτυφχψω"
"`Greek","ΑΒΓΔΕΖΗΘΙΚΛΜΝΞΟΠΡΣΤΥΦΧΨΩ"
"`beta","β"
"`gama","γ"
"`gamma","γ"
"`delta","δ"
"`epsilon","ε"
"`zeta","ζ"
"`eta","η"
"`theta","θ"
"`iota","ι"
"`kapa","κ"
"`kappa","κ"
"`lamda","λ"
"`lambda","λ"
"`mean","μ"
"`micro","µ"
"`mu","μ"
"`nu","ν"
"`xi","ξ"
"`omicron","ο"
"`Pi","Π"
"`pi","π"
"`3.14","π"
"`ro","ρ"
"`rho","ρ"
"`sigma","ς"
"`tau","τ"
"`upsilon","υ"
"`phi","φ"
"`chi","χ"
"`psi","ψ"
"`ohm","Ω"
"`omega","ω"
".'.%","ஃ"
"`thus%","ஃ"
".:+%","ஃ"
"zp","ᅀ"
"%^","ᐝ"
"\/+","ᐯ"
"/\+","ᐱ"
"/\/+","ᐱᐯ"
"/\/","ᐱᐯ"
"~~~","ᔓ"
"`hitch","ᔓ"
"\|/","ᗐ"
"/|\","ᗑ"
">-","᚛"
"-<","᚜"
"'-","᠆"
"th^","ᵗʰ"
".s","ṡ"
".S","Ṡ"
"S.","Ṣ"
"s.","ṣ"
".s.","ṩ"
".S.","Ṩ"
"--","–"
"---","—"
"----","―"
"''''","‘‘’’"
"qt","‘’"
"''","‘’"
"`quote","‘’"
"""""""""","““””"
"""""","“”"
"`quotes","“”"
"qts","“”"
"`+","†"
"`++","‡"
"`dot","•"
"dt","•"
".^","•"
"conv","‣"
"`convert","‣"
"`into","‣"
"'>#","‣"
""".","․"
"%%","‰"
"%%%","‱"
"`primes","′ ″ ‴ ⁗ ‵ ‶ ‷ ʹ ʺ ' "" ´ ˝"
".```","‴"
",`","‵"
",``","‶"
",```","‷"
"'<","‹"
"`hint","‹›"
"'<>","‹›"
"'>","›"
"!?","‽"
"?!","‽"
"`bullet","⁃"
"`thumbs","⁌⁍"
"./.","⁒"
"`modulo","⁒"
"`mod","⁒"
"`swung","⁓"
".````","⁗"
"0^","⁰"
"4^","⁴"
"5^","⁵"
"6^","⁶"
"7^","⁷"
"8^","⁸"
"9^","⁹"
"+^","⁺"
"=^","⁼"
"(^","⁽"
"()^","⁽⁾"
")^","⁾"
"0v","₀"
"1v","₁"
".128","₁₂₈"
".16","₁₆"
"16v","₁₆"
"2v","₂"
".256","₂₅₆"
"256v","₂₅₆"
"3v","₃"
"32v","₃₂"
".32","₃₂"
"4v","₄"
"5v","₅"
"6v","₆"
".64","₆₄"
"7v","₇"
"8v","₈"
"9v","₉"
"+v","₊"
"-v","₋"
"-00v","₋ꝏ"
"=v","₌"
"(v","₍"
"()v","₍₎"
")v","₎"
"ov","ₒ"
"xv","ₓ"
"nv","ₙ"
"pv","ₚ"
"ptv","ₚₜ"
"sv","ₛ"
"stv","ₛₜ"
"tv","ₜ"
"thv","ₜₕ"
"`euro","€"
"*^"," ⃰"
"`Complex","ℂ"
"`complex","ℂ"
"`comp","ℂ"
"`Comp","ℂ"
"`unsigned","ℕ"
"`Unsigned","ℕ"
"`natural","ℕ"
"`Natural","ℕ"
"(p)","℗"
"`rational","ℚ"
"`ratio","ℚ"
"`Real","ℝ"
"`real","ℝ"
"(tm)","™"
"`tm","™"
"`Integer","ℤ"
"`Int","ℤ"
"`int","ℤ"
"`integer","ℤ"
"`aleph","ℵ"
"&&","⅋"
"<\\","↖"
"<\\()","↖❪❫"
"<\()","↖❪❫"
"//>","↗"
"\\>","↘"
"<//","↙"
"</()","↙❪❫"
"<//()","↙❪❫"
"<-<","↢"
">->","↣"
"^::","⇡"
"v::","⇣"
"`all","∀"
"aa","∀"
"`nul","∅"
"0/","∅"
"`null","∅"
"`sort","∆"
"`zort","∇"
"(-","∈"
"(-/","∉"
"-)","∋"
"-)/","∌"
"`proof","∎"
"eop","∎"
"qed","∎"
"`PI","∏"
"`SIGMA","∑"
"`subtract","−"
"`sub","−"
"`minus","−"
"`-","−"
"-00","−Ꝏ"
"-+","∓"
"`ring","∘"
"`root","√"
"`radix","√"
"`surd","√"
"v/","√"
"`prop","∝"
"`proportional","∝"
"`00","∞"
"`infinity","∞"
"`infinite","∞"
"`8","∞"
"`lemniscate","∞"
"'^","∧"
"^v","∧∨₂"
"'v","∨"
".:+","∴"
"`thus","∴"
".'.","∴"
"`therefore","∴"
":.+","∵"
"`since","∵"
"`because","∵"
"'.'","∵"
"coz","∵"
"::","∷"
".-","∸"
"~~~~","∿"
"`~","≀"
"`wreath","≀"
"~/","≁"
"=~","≈"
"=~/","≉"
"?=","≟"
"=/","≠"
"=/?","≠ˀ"
"=-","≡"
"-=","≡"
"=-/","≢"
"-=/","≢"
"==","≣"
"<=","≤"
"<=?","≤ˀ"
">=","≥"
">=?","≥ˀ"
"`<<","≪"
"`>>","≫"
"</","≮"
">/","≯"
"<~","≺"
"<>~","≺≻"
"`format","≺≻"
">~","≻"
"`subset","⊂"
"`superset","⊃"
"(/","⊄"
")/","⊅"
"{{{","⊰"
"{{{}}}","⊰⊱"
"`blurb","⊰⊱"
"`fancy","⊰⊱"
"}}}","⊱"
"`of","⊲"
"0f","⊲"
"`to","⊳"
"t0","⊳"
"`^^^","⋀"
"mn","⋎"
"`min","⋎"
"^~","⋏"
"mx","⋏"
"`max","⋏"
"`maxmin","⋏⋎₂"
"mxmn","⋏⋎₂"
"`<<<","⋘"
"`>>>","⋙"
"`...","⋮"
"`modify","⌁"
"`mutate","⌁"
"`ceiling","⌈⌉"
"`ton","⌐"
##
"`place","⌘"
"`watch","⌚"
"ii","⌶"
"`nil","⍉"
"0\","⍉"
"`prism","⍫"
"`nan","⍬"
"0~","⍬"
"[?]","⍰"
"`ALPHA","⍺"
"`scroll","⎎"
"^^^","⎖"
"vvv","⎖"
"`cursor","⎖"
"yd","⎖"
"`insert","⎖"
"`yad","⎖"
"`()","⎛⎠"
"`list","⎛⎠"
"`Parms","⎛⎠ ⎝⎞ ──‣ ⎝⎞ ⎛⎠"
"()()->()","⎛⎠ ⎝⎞ ───‣ ⎛⎠"
"()()->()()","⎛⎠ ⎝⎞ ───‣ ⎝⎞ ⎛⎠"
"`Parmz","⎛⎠ ⎝⎞ ╌╌‣ ⎝⎞ ⎛⎠"
"()()~>()","⎛⎠ ⎝⎞ ╌╌╌‣ ⎛⎠"
"()()~>()()","⎛⎠ ⎝⎞ ╌╌╌‣ ⎝⎞ ⎛⎠"
"`parms","⎛⎠ ──‣ ⎛⎠"
"()->()","⎛⎠ ───‣ ⎛⎠"
"()->()()","⎛⎠ ───‣ ⎝⎞ ⎛⎠"
"`parmz","⎛⎠ ╌╌‣ ⎛⎠"
"()~>()","⎛⎠ ╌╌╌‣ ⎛⎠"
"()~>()()","⎛⎠ ╌╌╌‣ ⎝⎞ ⎛⎠"
"`)(","⎝⎞"
"{}","⎨⎬"
"`option9","⎧  ╏   ╏   ╏   ╏   ╏   ╏   ╏   ╏  ⎫
⎨◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌⎬ on  ◌
⎩  ╏   ╏   ╏   ╏   ╏   ╏   ╏   ╏  ⎭"
"`option8","⎧  ╏   ╏   ╏   ╏   ╏   ╏   ╏  ⎫
⎨◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌⎬ on  ◌
⎩  ╏   ╏   ╏   ╏   ╏   ╏   ╏  ⎭"
"`option7","⎧  ╏   ╏   ╏   ╏   ╏   ╏  ⎫
⎨◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌⎬ on  ◌
⎩  ╏   ╏   ╏   ╏   ╏   ╏  ⎭"
"`option6","⎧  ╏   ╏   ╏   ╏   ╏  ⎫
⎨◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌⎬ on  ◌
⎩  ╏   ╏   ╏   ╏   ╏  ⎭"
"`option5","⎧  ╏   ╏   ╏   ╏  ⎫
⎨◌ ╏ ◌ ╏ ◌ ╏ ◌ ╏ ◌⎬ on  ◌
⎩  ╏   ╏   ╏   ╏  ⎭"
"`option4","⎧  ╏   ╏   ╏  ⎫
⎨◌ ╏ ◌ ╏ ◌ ╏ ◌⎬ on  ◌
⎩  ╏   ╏   ╏  ⎭"
"`option3","⎧  ╏   ╏  ⎫
⎨◌ ╏ ◌ ╏ ◌⎬ on  ◌
⎩  ╏   ╏  ⎭"
"`option","⎧  ╏  ⎫
⎨◌ ╏ ◌⎬ on  ◌
⎩  ╏  ⎭"
"`option2","⎧  ╏  ⎫
⎨◌ ╏ ◌⎬ on  ◌
⎩  ╏  ⎭"
"`eol","⏎"
"10v","⏨"
"`blank","␢"
"\\","⑊"
"`vin","───"
"Dv","───"
"`Divide","───"
"`division","───"
"vn","───"
"`Div","───"
"`vinculum","───"
"`returns","───‣"
"--->","───‣"
"`abs","││⁺"
"lp","┊"
